session_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,flow_count
192.168.1.35:None->224.0.0.251:None-17,192.168.1.35,224.0.0.251,,,17,1,103,1
104.208.16.90:None->192.168.1.38:None-6,104.208.16.90,192.168.1.38,,,6,1,54,1
89.181.158.238:None->192.168.1.38:None-6,89.181.158.238,192.168.1.38,,,6,49,72239,7
192.168.1.38:None->89.181.158.238:None-6,192.168.1.38,89.181.158.238,,,6,36,2185,5
192.168.1.38:None->224.0.0.22:None-2,192.168.1.38,224.0.0.22,,,2,1,54,1
192.168.1.38:None->104.208.16.90:None-6,192.168.1.38,104.208.16.90,,,6,7,8237,1
36.236.64.74:None->192.168.1.38:None-6,36.236.64.74,192.168.1.38,,,6,1,62,1
192.168.1.38:None->36.236.64.74:None-6,192.168.1.38,36.236.64.74,,,6,2,340,1
92.247.174.151:None->192.168.1.38:None-6,92.247.174.151,192.168.1.38,,,6,75,113390,7
192.168.1.38:None->92.247.174.151:None-6,192.168.1.38,92.247.174.151,,,6,59,3605,6
217.42.82.216:None->192.168.1.38:None-17,217.42.82.216,192.168.1.38,,,17,128,172394,8
192.168.1.38:None->217.42.82.216:None-17,192.168.1.38,217.42.82.216,,,17,75,4869,8
81.84.97.11:None->192.168.1.38:None-6,81.84.97.11,192.168.1.38,,,6,28,42692,7
192.168.1.38:None->81.84.97.11:None-6,192.168.1.38,81.84.97.11,,,6,25,1645,7
20.42.65.90:None->192.168.1.38:None-6,20.42.65.90,192.168.1.38,,,6,1,62,1
192.168.1.38:None->20.42.65.90:None-6,192.168.1.38,20.42.65.90,,,6,2,625,1
67.174.154.26:None->192.168.1.38:None-6,67.174.154.26,192.168.1.38,,,6,80,122180,7
192.168.1.38:None->67.174.154.26:None-6,192.168.1.38,67.174.154.26,,,6,71,4215,7
91.170.48.164:None->192.168.1.38:None-6,91.170.48.164,192.168.1.38,,,6,2,108,2
192.168.1.38:None->77.91.229.218:None-6,192.168.1.38,77.91.229.218,,,6,1,62,1
104.16.102.112:None->192.168.1.38:None-6,104.16.102.112,192.168.1.38,,,6,4,598,1
192.168.1.38:None->104.16.102.112:None-6,192.168.1.38,104.16.102.112,,,6,2,151,1
192.168.1.38:None->188.51.226.235:None-6,192.168.1.38,188.51.226.235,,,6,41,2589,6
