session_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,flow_count
85.166.182.43:None->192.168.1.38:None-6,85.166.182.43,192.168.1.38,,,6,1,54,1
192.168.1.38:None->85.166.182.43:None-6,192.168.1.38,85.166.182.43,,,6,2,176,1
192.168.1.38:None->60.188.86.118:None-17,192.168.1.38,60.188.86.118,,,17,1,146,1
67.174.154.26:None->192.168.1.38:None-6,67.174.154.26,192.168.1.38,,,6,117,195178,9
192.168.1.38:None->67.174.154.26:None-6,192.168.1.38,67.174.154.26,,,6,108,6196,9
217.79.74.139:None->192.168.1.38:None-17,217.79.74.139,192.168.1.38,,,17,3,186,3
91.170.48.164:None->192.168.1.38:None-6,91.170.48.164,192.168.1.38,,,6,3,4022,1
192.168.1.38:None->91.170.48.164:None-6,192.168.1.38,91.170.48.164,,,6,2,108,1
217.42.82.216:None->192.168.1.38:None-17,217.42.82.216,192.168.1.38,,,17,121,153994,8
92.247.174.151:None->192.168.1.38:None-6,92.247.174.151,192.168.1.38,,,6,100,192840,8
192.168.1.38:None->92.247.174.151:None-6,192.168.1.38,92.247.174.151,,,6,82,4682,8
81.84.97.11:None->192.168.1.38:None-6,81.84.97.11,192.168.1.38,,,6,62,102748,10
192.168.1.38:None->81.84.97.11:None-6,192.168.1.38,81.84.97.11,,,6,58,3397,10
192.168.1.38:None->217.42.82.216:None-17,192.168.1.38,217.42.82.216,,,17,58,3761,6
192.168.1.38:None->104.208.16.90:None-6,192.168.1.38,104.208.16.90,,,6,8,8166,1
192.168.1.38:None->9.9.9.9:None-17,192.168.1.38,9.9.9.9,,,17,1,92,1
89.181.158.238:None->192.168.1.38:None-6,89.181.158.238,192.168.1.38,,,6,80,144900,7
83.219.212.56:None->192.168.1.38:None-6,83.219.212.56,192.168.1.38,,,6,2,108,2
104.208.16.90:None->192.168.1.38:None-6,104.208.16.90,192.168.1.38,,,6,3,261,1
71.183.90.8:None->192.168.1.38:None-6,71.183.90.8,192.168.1.38,,,6,48,150272,6
178.162.173.134:None->192.168.1.38:None-6,178.162.173.134,192.168.1.38,,,6,2,108,2
192.168.1.38:None->83.219.212.56:None-6,192.168.1.38,83.219.212.56,,,6,3,189,3
174.95.50.173:None->192.168.1.38:None-6,174.95.50.173,192.168.1.38,,,6,1,54,1
192.168.1.38:None->77.91.229.218:None-6,192.168.1.38,77.91.229.218,,,6,1,62,1
184.160.237.73:None->192.168.1.38:None-6,184.160.237.73,192.168.1.38,,,6,1,54,1
192.168.1.38:None->89.181.158.238:None-6,192.168.1.38,89.181.158.238,,,6,64,3584,5
