src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count
192.168.1.38,220.233.191.155,,,6,1,62
192.168.1.38,187.212.106.164,,,6,1,62
192.168.1.38,86.172.234.38,,,6,1,62
192.168.1.38,217.217.112.169,,,6,1,62
192.168.1.38,151.48.46.231,,,6,1,62
192.168.1.38,151.36.46.8,,,6,1,62
192.168.1.38,120.229.191.99,,,6,1,62
192.168.1.38,99.225.124.209,,,6,1,62
192.168.1.38,49.15.117.213,,,6,1,62
192.168.1.38,115.138.61.150,,,6,1,62
192.168.1.38,77.137.71.219,,,6,1,62
192.168.1.38,88.171.39.237,,,6,1,62
217.42.82.216,192.168.1.38,,,17,1,69
192.168.1.38,46.158.28.232,,,17,1,146
46.158.28.232,192.168.1.38,,,17,1,348
207.47.218.228,192.168.1.38,,,6,1,54
192.168.1.38,67.220.85.116,,,6,2,124
192.168.1.38,35.186.224.24,,,6,1,55
35.186.224.24,192.168.1.38,,,6,1,66
20.250.119.64,192.168.1.38,,,6,3,225
192.168.1.38,20.250.119.64,,,6,2,108
78.190.233.34,192.168.1.38,,,1,1,70
192.168.1.36,224.0.0.251,,,17,1,119
192.168.1.38,57.144.124.145,,,6,2,145
57.144.124.145,192.168.1.38,,,6,2,133
192.168.1.38,104.28.16.69,,,6,4,248
192.168.1.38,117.248.49.152,,,6,4,248
217.42.82.216,192.168.1.38,,,17,1,150
192.168.1.38,5.79.83.193,,,6,4,248
192.168.1.38,108.159.46.44,,,6,4,248
192.168.1.38,5.79.83.194,,,6,4,248
192.168.1.38,192.178.211.188,,,6,1,55
192.178.211.188,192.168.1.38,,,6,1,66
192.168.1.38,104.16.102.112,,,6,5,2494
104.16.102.112,192.168.1.38,,,6,8,831
192.168.1.38,94.59.125.58,,,17,1,146
94.59.125.58,192.168.1.38,,,17,1,352
192.168.1.38,57.144.124.192,,,6,4,296
57.144.124.192,192.168.1.38,,,6,4,272
192.168.1.38,37.19.5.139,,,6,1,62
192.168.1.38,142.250.206.165,,,6,1,59
142.250.206.165,192.168.1.38,,,6,1,66
192.168.1.38,23.55.244.27,,,6,1,55
23.55.244.27,192.168.1.38,,,6,1,66
104.16.103.112,192.168.1.38,,,6,2,146
192.168.1.38,104.16.103.112,,,6,1,100
104.18.39.21,192.168.1.38,,,6,4,264
192.168.1.38,104.18.39.21,,,6,2,172
104.208.16.90,192.168.1.38,,,6,1,54
192.168.1.38,239.255.255.250,,,17,4,848
192.168.1.38,80.80.131.167,,,6,7,1017
80.80.131.167,192.168.1.38,,,6,6,680
192.168.1.38,175.198.178.43,,,17,1,146
175.198.178.43,192.168.1.38,,,17,1,352
192.168.1.38,207.47.218.228,,,6,1,54
192.168.1.38,35.186.224.35,,,6,1,89
35.186.224.35,192.168.1.38,,,6,1,54
142.251.220.2,192.168.1.38,,,17,4,457
192.168.1.38,142.251.220.2,,,17,2,151
35.186.224.24,192.168.1.38,,,17,3,332
192.168.1.38,35.186.224.24,,,17,2,152
192.168.1.38,151.101.194.250,,,6,1,55
192.168.1.1,224.0.0.1,,,2,1,50
151.101.194.250,192.168.1.38,,,6,1,66
142.250.70.74,192.168.1.38,,,17,2,324
192.168.1.38,142.250.70.74,,,17,2,158
192.168.1.38,91.230.99.94,,,6,2,124
192.168.1.38,224.0.0.22,,,2,4,216
192.168.1.38,104.28.16.69,,,6,1,62
192.168.1.38,192.168.1.255,,,17,1,86
